Dates,Overall Gross
2019-06-06,165733750
2019-06-13,135918400
2019-06-20,203833169
2019-06-27,151841739
2019-07-04,183814074
2019-07-11,126932873
2019-07-18,263892161
2019-07-25,162878770
2019-08-01,148999326
2019-08-08,132104260
2019-08-15,120308036
2019-08-22,108769571
2019-08-29,91697206
2019-09-05,138434893
2019-09-12,110795923
2019-09-19,123503793
2019-09-26,94557551
2019-10-03,150555276
2019-10-10,141310420
2019-10-17,137734892
2019-10-24,107575317
2019-10-31,115483582
2019-11-07,121321449
2019-11-14,109183462
2019-11-21,204914094
2019-11-28,180855568
2019-12-05,90326095
2019-12-12,117816850
2019-12-19,247812806
2019-12-26,197191326
2020-01-02,142435395
2020-01-09,132086940
2020-01-16,166374186
2020-01-23,121644167
2020-01-30,80756128
2020-02-06,95487067
2020-02-13,156172047
2020-02-20,102566656
2020-02-27,97373222
2020-03-05,100774559
2020-03-12,53706394
2020-03-19,3920
2020-03-26,3758
2020-04-02,4097
2020-04-09,14612
2020-04-16,5245
2020-04-23,12062
2020-04-30,92387
2020-05-07,86428
2020-05-14,130583
2020-05-21,220573
2020-05-28,204881
2020-06-04,417302
2020-06-11,501867
