,month,number
0,2015-01,743
1,2015-02,726
2,2015-03,767
3,2015-04,822
4,2015-05,843
5,2015-06,667
6,2015-07,634
7,2015-08,725
8,2015-09,1042
9,2015-10,1126
10,2015-11,822
11,2015-12,2070
12,2016-01,812
13,2016-02,788
14,2016-03,798
15,2016-04,943
16,2016-05,833
17,2016-06,782
18,2016-07,680
19,2016-08,792
20,2016-09,1153
21,2016-10,1179
22,2016-11,885
23,2016-12,2406
24,2017-01,867
25,2017-02,776
26,2017-03,961
27,2017-04,927
28,2017-05,769
29,2017-06,884
30,2017-07,699
31,2017-08,873
32,2017-09,1140
33,2017-10,1205
34,2017-11,1011
35,2017-12,2308
36,2018-01,859
37,2018-02,868
38,2018-03,893
39,2018-04,875
40,2018-05,979
41,2018-06,791
42,2018-07,697
43,2018-08,969
44,2018-09,1124
45,2018-10,1241
46,2018-11,1000
47,2018-12,2298
48,2019-01,875
49,2019-02,817
50,2019-03,885
51,2019-04,779
52,2019-05,887
53,2019-06,812
54,2019-07,711
55,2019-08,981
56,2019-09,1088
57,2019-10,1329
58,2019-11,1041
59,2019-12,1737
60,2020-01,923
61,2020-02,839
62,2020-03,696
63,2020-04,483
64,2020-05,397
65,2020-06,267
66,2020-07,257
67,2020-08,258
68,2020-09,284
69,2020-10,376
70,2020-11,305
71,2020-12,3477
